Timestamp,DeviceID,max_wind_speed,mean_wind_speed,pluviometer,atmospheric,temperature,humidity,wind_direction,humidity_solo
1733760360,stationGardunha,0,0,0,941.2,19.3,46,0,0
1733764260,stationGardunha,0,0,0,941.1,21.8,37.5,0,0
1733767860,stationGardunha,0,0,0,941.6,20.9,39.5,0,0
1733771460,stationGardunha,0,0,0,941.8,20.7,40.5,0,0
1733775060,stationGardunha,0,0,0,941.7,19.7,44.5,0,0
1733778660,stationGardunha,0,0,0,941.7,18.4,46.5,0,0
1733782260,stationGardunha,0,0,0,942.1,18,48,0,0
1733785860,stationGardunha,0,0,0,941.9,17.8,48.5,0,0
1733789460,stationGardunha,0,0,0,941.6,17.7,48.5,0,0
1733793060,stationGardunha,0,0,0,941.1,17.6,48.5,0,0
1733796660,stationGardunha,0,0,0,940.4,17.5,48.5,0,0
1733800260,stationGardunha,0,0,0,940.5,17.4,48.5,0,0
1733803860,stationGardunha,0,0,0,940,17.4,48.5,0,0
1733807460,stationGardunha,0,0,0,939.4,17.4,48,0,0
1733811060,stationGardunha,0,0,0,939.3,17.3,48,0,0
1733814660,stationGardunha,0,0,0,939.4,17.3,48.5,0,0
1733818260,stationGardunha,0,0,0,939.4,17.2,48,0,0
1733821860,stationGardunha,0,0,0,939.6,17.2,49.5,0,0
1733832660,stationGardunha,4.1,0,0,906.9,5.4,65,6,0
1733836260,stationGardunha,4.1,0,0,906.3,6,64,356,0
1733839860,stationGardunha,4.7,0,0,905.9,6.8,57.5,31,0
1733843460,stationGardunha,3.4,0,0,905.8,6.5,56,15,0
1733847060,stationGardunha,1.8,0,0,905.9,6.5,67,150,0
1733850660,stationGardunha,3.2,0,0,905.9,5.3,69.5,128,0
1733854260,stationGardunha,3.4,0,0,905.9,5.1,70,132,0
1733857860,stationGardunha,3.5,0,0,906.2,4.9,70,100,0
1733861460,stationGardunha,2.6,0,0,906.3,5,66.5,80,0
1733865060,stationGardunha,2.1,0,0,906.1,3.5,75.5,344,0
1733868660,stationGardunha,1.4,0,0,906.1,3.2,70.5,353,0
1733872260,stationGardunha,2.5,0,0,906,2.8,71.5,0,0
1733875860,stationGardunha,2.1,0,0,905.7,2.4,74,349,0
1733879460,stationGardunha,2.7,0,0,905.5,2.4,72.5,26,0
1733883060,stationGardunha,0.8,0,0,905.3,3.3,67,49,0
1733886660,stationGardunha,2.8,0,0,905.2,2.1,72.5,2,0
1733890260,stationGardunha,1.4,0,0,905,2.9,67,232,0
1733893860,stationGardunha,4.3,0,0,904.7,3.2,66,129,0
1733897460,stationGardunha,1.9,0,0,904.8,2.6,66,68,0
1733901060,stationGardunha,0.7,0,0,904.8,2.4,67,70,0
1733904660,stationGardunha,1.1,0,0,905,3.2,64,343,0
1733908260,stationGardunha,0,0,0,905.4,4.1,62,0,0
1733911860,stationGardunha,1.4,0,0,905.8,4.9,61.5,343,0
1733915460,stationGardunha,0,0,0,905.8,7.7,58,0,0
1733919060,stationGardunha,1.5,0,0,905.5,7.4,62,62,0
1733922660,stationGardunha,1.9,0,0,905,6.8,64,122,0
1733926260,stationGardunha,0.7,0,0,904.7,8.1,59,68,0
1733929860,stationGardunha,2.9,0,0,904.6,5,68,135,0
1733933460,stationGardunha,2.2,0,0,904.7,4.6,72,165,0
1733937060,stationGardunha,4.8,0,0,904.8,4.2,73,124,0
1733940660,stationGardunha,2.1,0,0,905,4.1,73,122,0
1733944260,stationGardunha,2.3,0,0,905.3,4.2,72,127,0
1733947860,stationGardunha,4.2,0,0,905.5,3.9,68.5,114,0
1733951460,stationGardunha,5.1,0,0,905.7,3.6,67,126,0
1733955060,stationGardunha,5.2,0,0,905.6,3.3,70.5,127,0
1733958660,stationGardunha,5.9,0,0,905.9,3.3,69.5,126,0
1733962260,stationGardunha,4.9,0,0,905.9,3,70.5,130,0
1733965860,stationGardunha,5.3,0,0,905.5,3.1,69,88,0
1733969460,stationGardunha,6.4,0,0,905.5,3.2,68.5,105,0
1733973060,stationGardunha,6.1,0,0,905.6,3.1,68.5,136,0
1733976660,stationGardunha,6.6,0,0,905.4,3.2,67.5,136,0
1733980260,stationGardunha,4.7,0,0,905.3,3,68,80,0
1733983860,stationGardunha,6.3,0,0,905.3,2.8,69,136,0
1733987460,stationGardunha,10.6,0,0,905.7,2.8,70,105,0
1733991060,stationGardunha,7.3,0,0,906,2.9,70.5,105,0
1733994660,stationGardunha,8.6,0,0,906.2,3.6,70,127,0
1733998260,stationGardunha,4.7,0,0,906.8,4.1,70,101,0
1734001860,stationGardunha,5.2,0,0,906.8,5.1,67,109,0
1734005460,stationGardunha,8,0,0,906.4,6.3,65.5,134,0
1734009060,stationGardunha,5.3,0,0,905.8,5.2,70,135,0
1734012660,stationGardunha,5.1,0,0,905.4,5.2,68.5,120,0
1734016260,stationGardunha,5.7,0,0,905.3,5.2,68.5,117,0
1734019860,stationGardunha,3.3,0,0,905.4,4.9,73.5,142,0
1734023460,stationGardunha,4.5,0,0,905.6,5,72,124,0
1734027060,stationGardunha,4.2,0,0,905.8,4.8,72,172,0
1734030660,stationGardunha,5.9,0,0,906.1,4.5,77,145,0
1734034260,stationGardunha,3.4,0,0,906.3,4.2,81.5,136,0
1734037860,stationGardunha,4.7,0,0,906.4,3.7,85.5,156,0
1734041460,stationGardunha,3.8,0,0,906.5,3.6,84,147,0
1734045060,stationGardunha,4.6,0,0,906.8,3.3,89,136,0
1734048660,stationGardunha,4.2,0,0,906.8,3.1,85.5,143,0
1734052260,stationGardunha,2.7,0,0,906.4,3.2,85,125,0
1734055860,stationGardunha,4.3,0,0,906.3,2.8,90.5,139,0
1734059460,stationGardunha,0,0,0,906.5,2.8,94,0,0
1734063060,stationGardunha,1.4,0,0,906.5,2.9,93.5,173,0
1734066660,stationGardunha,1.6,0,0,906.5,3,90,52,0
1734070260,stationGardunha,2.1,0,0,906.9,3,89,108,0
1734073860,stationGardunha,1.3,0,0,907.6,3,87,86,0
1734077460,stationGardunha,0.9,0,0,908.3,3.2,87,136,0
1734081060,stationGardunha,2,0,0,908.7,4.2,84,149,0
1734084660,stationGardunha,0,0,0,909.8,4.7,82.5,0,0
1734088260,stationGardunha,4.2,0,0,909.9,4.8,80,147,0
1734091860,stationGardunha,2.3,0,0,909.9,5.3,80.5,163,0
1734095460,stationGardunha,3.2,0,0,909.6,5.5,78,162,0
1734099060,stationGardunha,4.2,0,0,909.7,9,66.5,188,0
1734102660,stationGardunha,4.2,0,0,910,5.3,84,168,0
1734106260,stationGardunha,1.8,0,0,910.5,4.6,87.5,164,0
1734109860,stationGardunha,5.1,0,0,911,4.6,89,138,0
1734113460,stationGardunha,2.9,0,0,911.6,4.7,86.5,147,0
1734117060,stationGardunha,2.6,0,0,912.4,4.6,91.5,146,0
1734120660,stationGardunha,4,0,0,912.8,4.7,89.5,149,0
1734124260,stationGardunha,2.1,0,0,913.6,4.6,90,113,0
1734127860,stationGardunha,4.7,0,0,914,4.7,89,114,0
